"Points:0","Points:1","Points:2","forces:0","forces:1","forces:2","radii","GlyphVector:0","GlyphVector:1","GlyphVector:2","Normals:0","Normals:1","Normals:2"
148.98,4.3683,-2.3496,-0.038814,0.010725,0,4.35,148.92,4.3675,2,0.013423,0.00019678,-0.99991
148.86,4.3666,6.3496,-0.038814,0.010725,0,4.35,148.92,4.3675,2,-0.013423,-0.00019678,0.99991
150.86,4.4236,-1.8935,-0.038814,0.010725,0,4.35,148.92,4.3675,2,0.44575,0.012895,-0.89506
152.36,4.4677,-0.66628,-0.038814,0.010725,0,4.35,148.92,4.3675,2,0.78979,0.02304,-0.61294
153.17,4.492,1.089,-0.038814,0.010725,0,4.35,148.92,4.3675,2,0.97741,0.028621,-0.20941
153.15,4.4916,3.0248,-0.038814,0.010725,0,4.35,148.92,4.3675,2,0.97143,0.028534,0.23559
152.28,4.4666,4.7576,-0.038814,0.010725,0,4.35,148.92,4.3675,2,0.77306,0.022795,0.63393
150.75,4.422,5.9442,-0.038814,0.010725,0,4.35,148.92,4.3675,2,0.42156,0.012541,0.90671
150.35,3.0734,-1.9007,-0.038814,0.010725,0,4.35,148.92,4.3675,2,0.32773,-0.2975,-0.89671
151.43,2.0347,-0.67918,-0.038814,0.010725,0,4.35,148.92,4.3675,2,0.57713,-0.53627,-0.6159
152.02,1.4581,1.073,-0.038814,0.010725,0,4.35,148.92,4.3675,2,0.71221,-0.66883,-0.21311
151.99,1.4577,3.0087,-0.038814,0.010725,0,4.35,148.92,4.3675,2,0.70624,-0.66892,0.23189
151.36,2.0336,4.7447,-0.038814,0.010725,0,4.35,148.92,4.3675,2,0.56039,-0.53652,0.63096
150.24,3.0718,5.937,-0.038814,0.010725,0,4.35,148.92,4.3675,2,0.30354,-0.29785,0.90507
149.03,2.4817,-1.9185,-0.038814,0.010725,0,4.35,148.92,4.3675,2,0.024812,-0.43352,-0.9008
149.06,0.96851,-0.71127,-0.038814,0.010725,0,4.35,148.92,4.3675,2,0.031287,-0.78137,-0.62328
149.06,0.12855,1.033,-0.038814,0.010725,0,4.35,148.92,4.3675,2,0.031564,-0.97447,-0.22231
149.03,0.12817,2.9687,-0.038814,0.010725,0,4.35,148.92,4.3675,2,0.025591,-0.97455,0.22269
148.98,0.96744,4.7126,-0.038814,0.010725,0,4.35,148.92,4.3675,2,0.014548,-0.78162,0.62359
148.92,2.4801,5.9192,-0.038814,0.010725,0,4.35,148.92,4.3675,2,0.00062444,-0.43387,0.90097
147.68,2.9951,-1.9365,-0.038814,0.010725,0,4.35,148.92,4.3675,2,-0.28556,-0.31549,-0.90495
146.62,1.8937,-0.74374,-0.038814,0.010725,0,4.35,148.92,4.3675,2,-0.52798,-0.56868,-0.63075
